sep=;
" ";"Date";"Pick OL";"Miss OL";"Miss EA *";"DPS Pick EA *";"DPS Miss OL";"DPS Miss EA";"CPS Pick Case *";"CPS Miss OL";"CPS Miss EA";"MPS Pick Case *";"MPS Miss OL";"MPS Miss EA";"PAL to Rep *";"PAL from Rep";"Totes from Rep";"Totes Outbound *";
"1";"4/15/2020 4:00:00 AM";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";
"2";"4/15/2020 5:00:00 AM";"4";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"32";"3";"506";"0";
"3";"4/15/2020 6:00:00 AM";"12,194";"2,238";"8,831";"35,380";"2,233";"8,576";"2,572";"0";"0";"566";"5";"255";"59";"0";"994";"424";
"4";"4/15/2020 7:00:00 AM";"12,065";"1,226";"3,805";"41,869";"1,223";"3,781";"2,150";"0";"0";"500";"3";"24";"59";"5";"886";"235";
"5";"4/15/2020 8:00:00 AM";"10,335";"1,437";"4,246";"40,202";"1,435";"4,240";"2,171";"0";"0";"300";"2";"6";"46";"5";"713";"695";
"6";"4/15/2020 9:00:00 AM";"11,437";"1,519";"4,904";"41,848";"1,511";"4,859";"2,345";"0";"0";"557";"8";"45";"46";"1";"643";"966";
"7";"4/15/2020 10:00:00 AM";"12,040";"1,671";"5,885";"40,698";"1,666";"5,870";"2,253";"5";"15";"436";"0";"0";"44";"4";"798";"652";
"8";"4/15/2020 11:00:00 AM";"8,357";"1,092";"3,757";"33,846";"1,090";"3,750";"2,316";"1";"4";"253";"1";"3";"32";"1";"597";"704";
"9";"4/15/2020 12:00:00 PM";"12,004";"1,618";"5,503";"43,883";"1,617";"5,495";"1,454";"0";"0";"555";"1";"8";"38";"1";"749";"788";
"10";"4/15/2020 1:00:00 PM";"10,749";"1,463";"4,485";"38,097";"1,463";"4,485";"1,301";"0";"0";"0";"0";"0";"45";"6";"789";"1,317";
"11";"4/15/2020 2:00:00 PM";"9,592";"888";"3,028";"31,774";"875";"2,982";"1,031";"9";"22";"587";"4";"24";"15";"0";"393";"1,213";
"12";"4/15/2020 3:00:00 PM";"11,092";"1,647";"5,184";"37,293";"1,646";"5,182";"1,361";"0";"0";"643";"1";"2";"23";"1";"500";"1,025";
"13";"4/15/2020 4:00:00 PM";"9,787";"1,392";"5,227";"42,098";"1,388";"5,215";"1,650";"2";"5";"528";"2";"7";"27";"1";"560";"1,516";
" Total";" ";"119,656";"16,191";"54,855";"426,994";"16,147";"54,435";"20,604";"17";"46";"4,925";"27";"374";"466";"28";"8,129";"9,535";
