sep=;
 ;Date;Pick OL;Miss OL;Miss EA *;DPS Pick EA *;DPS Miss OL;DPS Miss EA;CPS Pick Case *;CPS Miss OL;CPS Miss EA;MPS Pick Case *;MPS Miss OL;MPS Miss EA;PAL to Rep *;PAL from Rep;Totes from Rep;Totes Outbound *
1;2/15/2021 3:00:00 AM;26;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0
2;2/15/2021 4:00:00 AM;5,169;227;823;12,824;189;698;1,119;38;125;142;0;0;0;0;0;0
3;2/15/2021 5:00:00 AM;10,131;505;2,302;26,486;477;2,142;1,026;22;128;570;6;32;38;0;717;0
4;2/15/2021 6:00:00 AM;10,801;728;2,570;25,929;699;2,305;1,777;28;264;524;1;1;49;1;802;0
5;2/15/2021 7:00:00 AM;7,486;506;1,950;16,839;382;1,240;1,198;124;710;517;0;0;29;1;352;60
6;2/15/2021 8:00:00 AM;9,797;582;1,724;21,802;581;1,718;1,527;0;0;617;1;6;36;1;525;446
7;2/15/2021 9:00:00 AM;10,325;687;2,135;23,560;670;2,091;1,477;17;44;368;0;0;34;0;610;481
8;2/15/2021 10:00:00 AM;10,188;574;2,072;23,388;571;2,036;938;0;0;533;3;36;22;0;306;895
9;2/15/2021 11:00:00 AM;4,693;183;681;11,032;183;681;367;0;0;403;0;0;6;0;127;265
 Total; ;"68,616";"3,992";"14,257";"161,913";"3,752";"12,911";"9,429";"229";"1,271";"3,674";"11";"75";"214";"3";"3,439";"2,147"
