rflvbdiacciostca08-01#

Port,      Name   ,            Status    ,   Vlan    ,   Duplex, Speed ,Type;
Fa2/1,                       , notconnect,   121    ,      auto ,  auto , 10/100BaseTX;
Fa2/2,     Motorola Rogue Wir, notconnect,   98     ,      auto ,  auto , 10/100BaseTX;
Fa2/3,                       , notconnect,   98     ,      auto ,  auto ,10/100BaseTX;
Fa2/4,                       , connected ,   98     ,    a-full , a-100 ,10/100BaseTX;
Fa2/5,     IP camera         , connected ,   103    ,    a-full , a-100 ,10/100BaseTX;
Fa2/6     UPS01              ,notconnect ,  97      ,     auto  , auto ,10/100BaseTX;
Fa2/7,     IP camera         , connected ,   103    ,    a-full , a-100 ,10/100BaseTX;
Fa2/8,                       , connected ,   98     ,    a-full , a-100 ,10/100BaseTX;
Fa2/9,                       , notconnect,   98     ,      auto ,  auto ,10/100BaseTX;
Fa2/10,                      , connected ,   98     ,    a-full , a-100 ,10/100BaseTX;
Fa2/11,                      , notconnect,   98     ,      auto ,  auto ,10/100BaseTX;
Fa2/12,                      , connected ,   98     ,    a-full , a-100 ,10/100BaseTX;
Fa2/13,                      , connected ,   98     ,    a-full , a-100 ,10/100BaseTX;
Fa2/14,                     ,connected   , 98     ,    a-full , a-100 ,10/100BaseTX;
Fa2/15,                     ,connected   , 98     ,    a-full , a-100 ,10/100BaseTX;
Fa2/16,                     ,  connected  ,  98   ,      a-full , a-100 ,10/100BaseTX;
Fa2/17,                     ,  connected  ,  98   ,      a-full , a-100 ,10/100BaseTX;
Fa2/18,                     ,  connected  ,  98   ,      a-full , a-100 ,10/100BaseTX;
Fa2/19,    VeroD-TCA8-AP30  ,  notconnect ,  121  ,        auto ,  auto ,10/100BaseTX;
Fa2/20,                     ,  notconnect ,  98   ,        auto ,  auto ,10/100BaseTX;
Fa2/21,                    ,   connected  ,  98   ,      a-full , a-100 ,10/100BaseTX;
Fa2/22,                    ,   connected  ,  98   ,      a-full , a-100 ,10/100BaseTX;
Fa2/23,                    ,   connected  ,  98   ,      a-full , a-100 ,10/100BaseTX;
Fa2/24,                    ,   connected  ,  98   ,      a-full , a-100 ,10/100BaseTX;
Fa2/25,                    ,   connected  ,  98   ,      a-full , a-100 ,10/100BaseTX;
Fa2/26,                    ,   connected  ,  98   ,      a-full , a-100 ,10/100BaseTX;
Fa2/27,                    ,   connected  ,  98   ,      a-full , a-100 ,10/100BaseTX;
Fa2/28,    IP camera       ,   notconnect ,  103  ,        auto ,  auto ,10/100BaseTX;
Fa2/29,    VeroD-TCA8-AP29  ,  connected  ,  121  ,      a-full , a-100 ,10/100BaseTX;
Fa2/30,                     ,  notconnect ,  98   ,        auto ,  auto ,10/100BaseTX;
Fa2/31,                     ,  connected  ,  98   ,      a-full , a-100 ,10/100BaseTX;
Fa2/32,                     ,  connected  ,  98   ,      a-full , a-100 ,10/100BaseTX;
Fa2/33,                     ,  connected  ,  98   ,      a-full , a-100 ,10/100BaseTX;
Fa2/34,                     ,  connected  ,  98   ,      a-full , a-100 ,10/100BaseTX;
Fa2/35,                     ,  notconnect ,  98   ,        auto ,  auto ,10/100BaseTX;
Fa2/36,                     ,  connected  ,  98   ,      a-full , a-100 ,10/100BaseTX;
Fa2/37,                     ,  connected  ,  98   ,      a-full , a-100 ,10/100BaseTX;
Fa2/38,                     ,  connected  ,  98   ,      a-full , a-100 ,10/100BaseTX;
Fa2/39,                     ,  connected  ,  98   ,      a-full ,  a-10 ,10/100BaseTX;
Fa2/40,                     ,  connected  ,  98   ,      a-full , a-100 ,10/100BaseTX;
Fa2/41,    VeroDC-AP19      ,  notconnect  , 121  ,        auto ,  auto ,10/100BaseTX;
Fa2/42,    VeroDC-AP20      ,  notconnect  , 121  ,        auto ,  auto ,10/100BaseTX;
Fa2/43,    VeroDC-AP24      ,  notconnect  , 121  ,        auto ,  auto ,10/100BaseTX;
Fa2/44,    VeroDC-AP25      ,  notconnect  , 121  ,        auto ,  auto ,10/100BaseTX;
Fa2/45,    VeroDC-AP23   ,     notconnect ,  121 ,         auto ,  auto ,10/100BaseTX;
Fa2/46,    VeroDC-AP27   ,     notconnect ,  121 ,         auto ,  auto ,10/100BaseTX;
Fa2/47,    VeroDC-AP26   ,     notconnect ,  121 ,         auto ,  auto ,10/100BaseTX;
Fa2/48,    VeroDC-AP28   ,     notconnect ,  121 ,         auto ,  auto , 10/100BaseTX;
