sep=;
 ;Area;Date;Hour;Users;Grosstime;Nettime;% work;% wait;PAL to RP;PAL from RP;Totes from RP;Total Cases;Cases Broken;PU total;EA total;PU C_C;EA C_C;PU E_E;EA E_E;PU C_I;EA C_I;PU CIE;EA CIE;PU C_E;EA C_E;PU EAS *;PU wrap *;Checked SKU;Checked Dimension;Checked Weight;Manual Stock Correction;SKU Masterdata Update;Error Handling
1;RAU;4/1/2021;3;3;0.07;0.07;98;2;0;0;1;1;1;4;4;0;0;0;0;0;0;0;0;4;4;0;0;1;0;0;0;0;0
2;RAU;4/1/2021;4;18;13.45;12.36;92;8;37;0;766;2455;1718;27131;27659;0;0;737;737;48;576;2284;2284;24062;24062;0;0;115;0;5;1;5;7
3;RAU;4/1/2021;5;20;16.88;14.58;86;14;52;1;1232;2425;2413;30236;31000;12;48;0;0;52;780;2164;2164;28008;28008;0;0;102;0;6;4;6;14
4;RAU;4/1/2021;6;19;17.18;15.66;91;9;46;2;815;2137;2137;26585;27763;0;0;0;0;178;972;906;906;25501;25501;384;0;134;0;3;1;4;8
5;RAU;4/1/2021;7;16;14.5;13.32;92;8;44;0;638;1934;1801;21334;23247;33;198;100;100;418;1848;312;312;20471;20471;318;0;113;0;3;2;3;11
6;RAU;4/1/2021;8;16;14.03;11.33;81;19;39;0;728;1489;1489;20780;32442;0;0;0;0;1150;12812;3720;3720;15910;15910;0;0;58;0;1;2;1;3
7;RAU;4/1/2021;9;16;10.44;9.32;89;11;24;1;607;1494;1494;19901;25571;0;0;0;0;554;6224;480;480;18867;18867;0;0;68;0;3;1;3;7
8;RAU;4/1/2021;10;17;13.44;12.6;94;6;36;1;587;1412;1412;23238;25050;0;0;0;0;456;960;2240;2240;20542;20542;1308;0;89;0;2;3;2;5
9;RAU;4/1/2021;11;16;11.01;10.44;95;5;21;0;427;739;739;17359;17673;0;0;0;0;214;528;576;576;16569;16569;0;0;88;0;3;0;4;4
10;RAU;4/1/2021;12;15;2.79;2.62;94;6;11;0;119;334;334;4502;4694;0;0;0;0;156;312;204;204;4142;4142;36;0;37;0;0;0;0;3
Total; ; ; ; ; ; ; ; ;"310";"5";"5920";"14420";"13538";"191070";"215103";"45";"246";"837";"837";"3226";"25012";"12886";"12886";"174076";"174076";"2046";"0";"805";"0";"26";"14"; ; 
