sep=;
 ;Date;Pick OL;Miss OL;Miss EA *;DPS Pick EA *;DPS Miss OL;DPS Miss EA;CPS Pick Case *;CPS Miss OL;CPS Miss EA;MPS Pick Case *;MPS Miss OL;MPS Miss EA;PAL to Rep *;PAL from Rep;Totes from Rep;Totes Outbound *
1;4/1/2021;0;1;8;0;1;8;0;0;0;0;0;0;0;0;0;0
2;4/1/2021 3:00:00 AM;551;39;125;1,700;39;125;0;0;0;0;0;0;0;0;1;0
3;4/1/2021 4:00:00 AM;10,751;1,058;4,068;30,442;1,058;4,068;0;0;0;0;0;0;37;0;766;0
4;4/1/2021 5:00:00 AM;10,868;772;2,170;29,380;759;2,150;0;13;20;0;0;0;52;1;1,232;831
5;4/1/2021 6:00:00 AM;11,476;1,081;2,833;27,948;1,077;2,816;1,527;1;1;393;3;16;46;2;815;841
6;4/1/2021 7:00:00 AM;8,524;732;2,066;19,567;719;1,982;1,593;0;0;729;13;84;44;0;638;1,088
7;4/1/2021 8:00:00 AM;10,944;1,088;2,630;24,914;1,080;2,616;1,360;0;0;484;8;14;39;0;728;785
8;4/1/2021 9:00:00 AM;11,870;1,231;2,963;27,120;1,207;2,919;1,663;23;40;655;1;4;24;1;607;866
9;4/1/2021 10:00:00 AM;9,575;930;2,182;21,605;915;2,109;1,974;3;6;657;12;67;36;1;587;733
10;4/1/2021 11:00:00 AM;9,848;1,178;2,932;24,957;1,136;2,880;1,167;40;50;322;2;2;21;0;427;605
11;4/1/2021 12:00:00 PM;2,457;262;711;6,731;259;705;322;0;0;165;3;6;10;0;105;133
 Total; ;"86,864";"8,372";"22,688";"214,364";"8,250";"22,378";"9,606";"80";"117";"3,405";"42";"193";"309";"5";"5,906";"5,882"
