sep=;
 ;Area;Date;Hour;Users;Grosstime;Nettime;% work;% wait;PAL to RP;PAL from RP;Totes from RP;Total Cases;Cases Broken;PU total;EA total;PU C_C;EA C_C;PU E_E;EA E_E;PU C_I;EA C_I;PU CIE;EA CIE;PU C_E;EA C_E;PU EAS *;PU wrap *;Checked SKU;Checked Dimension;Checked Weight;Manual Stock Correction;SKU Masterdata Update;Error Handling
1;RAU;9/16/2021;4;20;12.54;12.13;97;3;30;2;646;1829;1829;18606;19166;0;0;0;0;256;816;1560;1560;16790;16790;0;0;91;0;0;1;0;6
2;RAU;9/16/2021;5;22;19.23;18.22;95;5;56;1;969;2688;2688;30638;32408;0;0;0;0;354;2124;432;432;29852;29852;0;0;150;0;0;1;0;11
3;RAU;9/16/2021;6;22;19.19;18.34;96;4;47;1;825;2339;2334;36418;37044;5;60;0;0;48;288;1538;1538;34827;34827;331;0;134;0;0;2;0;7
4;RAU;9/16/2021;7;22;20.27;19.21;95;5;44;7;788;2430;2350;28676;30671;0;0;80;80;438;2232;3684;3684;24474;24474;201;0;131;0;0;3;0;9
5;RAU;9/16/2021;8;24;17.49;16.5;94;6;36;2;604;2005;1988;27644;32563;17;204;0;0;836;5088;1056;1056;25735;25735;480;0;95;0;0;1;2;7
6;RAU;9/16/2021;9;23;17.16;16.2;94;6;51;1;749;2051;1956;23780;30129;95;1900;0;0;400;4560;4122;4122;19163;19163;384;0;96;0;0;1;0;11
7;RAU;9/16/2021;10;22;19.71;18.12;92;8;45;3;706;1772;1772;24027;42837;0;0;0;0;2412;20928;1872;1872;19743;19743;294;0;94;0;0;1;0;10
8;RAU;9/16/2021;11;21;15.27;14.4;94;6;44;5;559;1621;1621;18698;53776;0;0;0;0;3970;38952;1812;1812;12916;12916;96;0;91;0;0;2;0;7
9;RAU;9/16/2021;12;20;10.77;10.13;94;6;20;2;363;830;830;11412;12320;0;0;0;0;112;228;1662;1662;9638;9638;792;0;48;0;0;0;0;5
10;RAU;9/16/2021;13;18;11.72;11.34;97;3;19;5;358;839;839;13053;14103;0;0;0;0;714;1728;1035;1035;11304;11304;36;0;98;0;0;0;0;9
11;RAU;9/16/2021;14;21;17.57;15.74;90;10;49;3;833;2346;2346;26529;26637;0;0;0;0;36;72;3008;3008;23485;23485;72;0;107;0;0;0;0;14
12;RAU;9/16/2021;15;21;19.78;19.18;97;3;38;4;659;1823;1711;27982;32578;112;1344;0;0;852;3264;6300;6300;20718;20718;952;0;176;0;0;0;0;7
13;RAU;9/16/2021;16;21;13.99;13.37;96;4;34;3;624;1556;1556;19840;23278;0;0;0;0;1194;4584;2688;2688;15958;15958;48;0;132;0;0;0;0;8
Total; ; ; ; ; ; ; ; ;"513";"39";"8683";"24129";"23820";"307303";"387510";"229";"3508";"80";"80";"11622";"84864";"30769";"30769";"264603";"264603";"3686";"0";"1443";"0";"0";"12"; ; 
