sep=;
 ;Date;Pick OL;Miss OL;Miss EA *;DPS Pick EA *;DPS Miss OL;DPS Miss EA;CPS Pick Case *;CPS Miss OL;CPS Miss EA;MPS Pick Case *;MPS Miss OL;MPS Miss EA;PAL to Rep *;PAL from Rep;Totes from Rep;Totes Outbound *
1;7/29/2021 3:00:00 AM;488;129;367;1,459;129;367;0;0;0;6;0;0;0;0;0;0
2;7/29/2021 4:00:00 AM;8,100;2,942;12,421;22,575;2,935;12,393;1,348;0;0;611;7;28;35;1;524;146
3;7/29/2021 5:00:00 AM;8,345;2,574;8,555;22,875;2,560;8,437;2,041;11;98;624;3;20;50;3;979;1,018
4;7/29/2021 6:00:00 AM;10,041;3,230;9,855;29,520;3,229;9,849;1,176;0;0;621;1;6;48;0;890;1,030
5;7/29/2021 7:00:00 AM;9,846;3,242;9,569;28,909;3,240;9,564;987;1;1;658;1;4;46;1;843;465
6;7/29/2021 8:00:00 AM;8,057;2,697;6,940;21,460;2,693;6,919;743;1;1;278;3;20;40;5;807;894
7;7/29/2021 9:00:00 AM;9,148;3,010;8,318;23,788;2,993;8,155;1,019;15;155;377;2;8;26;0;615;820
8;7/29/2021 10:00:00 AM;8,371;2,637;7,352;21,441;2,630;7,300;1,084;7;52;419;0;0;50;1;911;789
9;7/29/2021 11:00:00 AM;7,972;2,531;6,882;22,440;2,529;6,870;952;0;0;220;2;12;34;0;743;1,094
10;7/29/2021 12:00:00 PM;9,709;3,042;8,972;32,313;3,030;8,683;357;12;289;474;0;0;23;1;477;1,391
11;7/29/2021 1:00:00 PM;8,525;2,628;7,967;28,086;2,628;7,967;310;0;0;301;0;0;7;0;115;876
12;7/29/2021 2:00:00 PM;6,342;2,034;6,446;19,533;2,033;6,442;418;0;0;456;1;4;46;3;959;1,075
13;7/29/2021 3:00:00 PM;6,080;2,013;6,209;18,213;2,013;6,209;640;0;0;421;0;0;45;1;619;1,092
14;7/29/2021 4:00:00 PM;7,088;2,363;6,949;22,268;2,361;6,939;1,090;0;0;545;2;10;37;3;572;902
15;7/29/2021 5:00:00 PM;8,634;2,762;7,977;27,360;2,756;7,773;379;5;60;355;1;144;30;1;542;1,299
16;7/29/2021 6:00:00 PM;7,549;2,327;7,012;24,312;2,320;6,923;458;1;60;158;6;29;30;3;373;1,019
 Total; ;"124,295";"40,161";"121,791";"366,552";"40,079";"120,790";"13,002";"53";"716";"6,524";"29";"285";"547";"23";"9,969";"13,910"
